brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,price_m2
Berkshire Hathaway,lista para construir,870826,4,3,1.34,Paseo de la Castellana 159,Málaga,Navarra,54001,260,2024-03-08,3349.3307692307694
Sotheby's,lista para construir,1123584,6,4,1.56,Paseo de la Castellana 125,Palma,Aragón,74250,425,2023-07-12,2643.727058823529
Century 21,lista para construir,1319320,4,3,0.12,Paseo de la Castellana 141,Bilbao,Navarra,26860,383,2024-02-21,3444.699738903394
eXp Realty,lista para la venta,647365,5,1,1.82,Calle Alcalá 58,Valencia,Aragón,79418,133,2025-04-21,4867.4060150375935
Sotheby's,lista para la venta,791624,1,1,0.65,Calle Mayor 103,Valladolid,Galicia,45677,335,2023-12-03,2363.0567164179106
Keller Williams,lista para la venta,1177208,6,2,0.54,Calle Mayor 63,Zaragoza,Castilla-La Mancha,35910,494,2024-12-01,2383.0121457489877
Century 21,lista para la venta,966884,1,1,1.34,Paseo de la Castellana 96,Sevilla,Castilla y León,90147,405,2024-04-14,2387.367901234568
RE/MAX,lista para construir,1385318,2,1,0.9,Calle Gran Vía 102,Madrid,Navarra,78769,269,2024-03-23,5149.881040892194
Sotheby's,lista para la venta,1203984,3,3,1.12,Plaza España 25,Zaragoza,Valencia,59557,491,2025-04-02,2452.105906313646
Berkshire Hathaway,lista para construir,414732,5,3,1.4,Avenida Diagonal 99,Sevilla,Canarias,53195,112,2025-04-28,3702.964285714286
Sotheby's,lista para construir,421048,1,2,1.73,Calle Mayor 152,Córdoba,Madrid,39400,132,2024-06-24,3189.757575757576
Century 21,lista para la venta,860205,3,1,1.46,Ronda de Valencia 57,Murcia,Canarias,27998,376,2024-10-16,2287.779255319149
Coldwell Banker,lista para construir,611559,3,1,0.5,Calle Serrano 63,Zaragoza,Castilla-La Mancha,58353,237,2023-09-17,2580.4177215189875
Berkshire Hathaway,lista para construir,1044855,2,2,0.52,Calle Mayor 39,Sevilla,País Vasco,78827,447,2023-12-25,2337.48322147651
RE/MAX,lista para la venta,214507,1,1,0.39,Plaza del Sol 146,Zaragoza,Asturias,32765,77,2025-04-10,2785.805194805195
Sotheby's,lista para construir,1852430,3,2,1.02,Calle Alcalá 81,Madrid,Asturias,36323,380,2024-07-11,4874.815789473684
Century 21,lista para construir,491581,1,1,1.49,Calle Gran Vía 195,Gijón,País Vasco,12229,180,2024-06-15,2731.0055555555555
eXp Realty,lista para construir,280779,1,2,1.3,Calle Alcalá 179,Palma,Navarra,81554,74,2024-11-06,3794.310810810811
Century 21,lista para la venta,269843,1,2,1.12,Plaza España 87,Murcia,Baleares,25793,102,2023-07-11,2645.5196078431372
Realty One,lista para construir,702567,6,2,1.07,Avenida Diagonal 22,Valladolid,Murcia,48400,232,2024-07-14,3028.3060344827586
RE/MAX,lista para la venta,1067172,2,2,0.32,Ronda de Valencia 124,Córdoba,Navarra,85577,485,2024-05-18,2200.354639175258
eXp Realty,lista para construir,914199,5,4,1.24,Avenida de la Constitución 168,Alicante,Castilla y León,89116,312,2025-01-18,2930.125
Compass,lista para construir,1454635,3,1,1.61,Avenida de la Constitución 55,Madrid,Extremadura,81161,297,2023-09-19,4897.760942760943
Compass,lista para construir,910028,6,4,0.98,Calle Serrano 73,Zaragoza,Canarias,93803,303,2025-04-04,3003.3927392739274
Keller Williams,lista para construir,955879,3,1,1.54,Calle Serrano 17,Zaragoza,Aragón,36436,402,2023-07-27,2377.8084577114428
Compass,lista para la venta,795173,2,3,0.46,Calle Gran Vía 28,Vigo,Valencia,44979,353,2023-10-09,2252.614730878187
Berkshire Hathaway,lista para construir,1735584,3,3,1.47,Avenida Diagonal 84,Madrid,Valencia,21766,352,2024-07-22,4930.636363636364
eXp Realty,lista para construir,753649,1,1,1.77,Calle Serrano 51,Alicante,Navarra,34388,268,2024-09-16,2812.123134328358
eXp Realty,lista para la venta,934686,5,4,0.26,Avenida Diagonal 49,Valladolid,Galicia,37670,387,2023-11-12,2415.2093023255816
Century 21,lista para construir,526628,4,2,1.28,Calle Serrano 182,Bilbao,Murcia,23129,84,2023-08-24,6269.380952380952
Sotheby's,lista para construir,1592846,4,4,1.79,Calle Gran Vía 185,Bilbao,Asturias,63653,448,2025-02-14,3555.4598214285716
Realty One,lista para construir,1543678,4,4,1.99,Calle Gran Vía 48,Valencia,Castilla y León,56053,437,2023-11-20,3532.4439359267735
RE/MAX,lista para construir,508303,3,4,0.16,Calle Gran Vía 125,Málaga,Madrid,72741,158,2024-07-21,3217.1075949367087
Berkshire Hathaway,lista para construir,425472,3,2,0.84,Calle Alcalá 143,Gijón,Extremadura,34092,131,2024-08-08,3247.8778625954196
Century 21,lista para construir,1746322,2,2,0.64,Paseo de la Castellana 182,Barcelona,Castilla-La Mancha,38921,397,2024-03-20,4398.7959697732995
Realty One,lista para la venta,1994887,3,1,0.41,Calle Alcalá 173,Madrid,Valencia,57055,410,2024-07-14,4865.578048780488
Realty One,lista para la venta,2263907,4,1,1.67,Calle Alcalá 185,Barcelona,Madrid,17997,477,2024-06-01,4746.136268343816
RE/MAX,lista para la venta,655480,2,2,1.54,Plaza España 185,Madrid,Aragón,44017,117,2025-03-17,5602.393162393162
Keller Williams,lista para la venta,1461215,5,4,0.41,Ronda de Valencia 29,Málaga,Canarias,90107,474,2023-10-22,3082.7320675105484
Coldwell Banker,lista para la venta,426887,5,3,0.45,Plaza del Sol 10,Palma,Aragón,51091,109,2024-10-15,3916.394495412844
Coldwell Banker,lista para la venta,646248,4,3,0.26,Paseo de la Castellana 183,Murcia,Canarias,20115,266,2023-11-15,2429.503759398496
Realty One,lista para la venta,579245,2,1,0.96,Ronda de Valencia 188,Barcelona,Andalucía,72583,95,2024-03-04,6097.315789473684
RE/MAX,lista para construir,998266,6,3,1.67,Calle Alcalá 166,Murcia,Extremadura,98963,381,2024-09-13,2620.1207349081365
Realty One,lista para construir,752748,3,3,1.34,Calle Gran Vía 140,Zaragoza,Galicia,64811,253,2023-12-28,2975.288537549407
Sotheby's,lista para construir,640936,2,3,1.63,Avenida Diagonal 170,Madrid,Madrid,59894,95,2024-01-08,6746.694736842105
Berkshire Hathaway,lista para la venta,1268180,3,4,0.42,Calle Gran Vía 45,Madrid,Murcia,31208,251,2024-11-09,5052.509960159363
Coldwell Banker,lista para construir,512535,3,4,0.31,Paseo de la Castellana 155,Las Palmas,Navarra,19834,139,2023-07-21,3687.3021582733813
Keller Williams,lista para la venta,609130,2,2,1.69,Avenida Diagonal 94,Málaga,Extremadura,10206,137,2024-04-17,4446.204379562044
Realty One,lista para la venta,809117,4,4,1.75,Calle Alcalá 170,Madrid,Valencia,59376,125,2025-04-30,6472.936
Keller Williams,lista para construir,816892,1,1,0.67,Avenida de la Constitución 23,Gijón,Castilla y León,33857,350,2025-04-29,2333.977142857143
Sotheby's,lista para construir,642822,4,3,1.45,Avenida Diagonal 99,Valencia,Castilla y León,73836,125,2023-07-22,5142.576
RE/MAX,lista para construir,849477,4,1,0.96,Calle Serrano 177,Madrid,Murcia,89859,153,2023-10-28,5552.137254901961
Berkshire Hathaway,lista para construir,1016974,2,3,1.81,Avenida Diagonal 87,Valladolid,Madrid,23402,427,2023-12-03,2381.6721311475408
RE/MAX,lista para construir,965021,6,1,1.49,Calle Mayor 174,Zaragoza,País Vasco,39394,384,2025-03-16,2513.0755208333335
eXp Realty,lista para la venta,358751,4,2,0.59,Plaza España 172,Málaga,País Vasco,22772,89,2025-02-07,4030.9101123595506
Realty One,lista para la venta,799778,2,2,0.91,Avenida de la Constitución 82,Murcia,Valencia,23564,315,2025-02-06,2538.9777777777776
Keller Williams,lista para construir,369974,2,1,0.8,Paseo de la Castellana 154,Palma,Castilla-La Mancha,12589,140,2024-02-15,2642.6714285714284
Compass,lista para la venta,1049822,3,3,1.32,Plaza España 92,Málaga,Extremadura,25025,327,2023-09-19,3210.4648318042814
Keller Williams,lista para la venta,886599,5,4,1.16,Avenida Diagonal 99,Málaga,Cataluña,80423,223,2025-01-05,3975.7802690582957
Berkshire Hathaway,lista para la venta,1750844,5,3,1.16,Avenida de la Constitución 80,Madrid,Navarra,46420,344,2024-10-06,5089.662790697675
Realty One,lista para la venta,966198,5,1,1.63,Calle Mayor 29,Sevilla,Extremadura,68355,327,2024-08-02,2954.733944954128
Sotheby's,lista para construir,922234,3,2,0.7,Avenida de la Constitución 64,Bilbao,Asturias,67277,233,2025-04-23,3958.0858369098714
eXp Realty,lista para la venta,1041990,5,3,1.94,Calle Alcalá 87,Las Palmas,Valencia,46617,399,2024-09-01,2611.503759398496
Coldwell Banker,lista para la venta,395593,6,1,0.98,Paseo de la Castellana 53,Vigo,Navarra,74958,94,2023-06-06,4208.436170212766
Compass,lista para la venta,901191,3,1,1.45,Calle Mayor 20,Zaragoza,Cataluña,90704,339,2024-12-24,2658.380530973451
Berkshire Hathaway,lista para la venta,1075183,3,2,1.37,Calle Gran Vía 195,Valladolid,Canarias,90087,468,2023-12-27,2297.3995726495727
Compass,lista para la venta,449348,2,2,1.38,Plaza del Sol 107,Sevilla,Navarra,71438,120,2024-09-08,3744.5666666666666
Keller Williams,lista para la venta,717861,1,1,1.1,Ronda de Valencia 10,Málaga,Cataluña,63745,244,2025-03-20,2942.0532786885246
Sotheby's,lista para la venta,872588,3,3,1.4,Calle Alcalá 95,Palma,Madrid,98421,364,2023-09-03,2397.21978021978
Realty One,lista para la venta,600327,6,3,0.33,Calle Serrano 117,Córdoba,Murcia,68244,177,2023-08-20,3391.677966101695
Realty One,lista para la venta,999536,2,1,1.02,Avenida de la Constitución 63,Zaragoza,Andalucía,53268,432,2023-08-15,2313.740740740741
Berkshire Hathaway,lista para la venta,1044901,5,2,0.33,Paseo de la Castellana 172,Zaragoza,Aragón,64388,418,2024-06-22,2499.7631578947367
Compass,lista para construir,370955,2,1,0.29,Avenida Diagonal 183,Vigo,Murcia,74914,107,2023-12-08,3466.8691588785045
Compass,lista para la venta,1189221,4,2,0.59,Paseo de la Castellana 33,Sevilla,Asturias,33791,467,2024-07-28,2546.5117773019274
Compass,lista para la venta,1073288,2,3,0.16,Paseo de la Castellana 124,Zaragoza,Castilla y León,56104,461,2024-10-16,2328.173535791757
Coldwell Banker,lista para construir,546856,4,4,1.38,Avenida de la Constitución 48,Alicante,Baleares,15613,135,2023-10-21,4050.785185185185
Realty One,lista para la venta,421899,6,2,0.85,Calle Serrano 87,Barcelona,Murcia,12206,50,2024-08-18,8437.98
Berkshire Hathaway,lista para construir,628060,5,1,1.99,Avenida de la Constitución 79,Sevilla,Navarra,90682,164,2023-12-03,3829.6341463414633
Realty One,lista para la venta,2128403,5,4,0.73,Calle Gran Vía 40,Madrid,Baleares,56517,423,2024-05-08,5031.685579196217
Sotheby's,lista para construir,838423,3,4,0.36,Plaza España 188,Palma,Andalucía,42962,371,2025-02-24,2259.900269541779
Compass,lista para la venta,654894,1,2,1.77,Ronda de Valencia 30,Murcia,Baleares,54203,210,2025-01-14,3118.542857142857
Berkshire Hathaway,lista para construir,850677,3,2,1.44,Paseo de la Castellana 105,Córdoba,Baleares,24323,303,2023-08-04,2807.5148514851485
Century 21,lista para la venta,351778,3,2,1.38,Avenida de la Constitución 128,Gijón,Asturias,87974,99,2024-03-23,3553.313131313131
Realty One,lista para la venta,1839829,3,2,0.92,Avenida Diagonal 17,Madrid,Madrid,21273,375,2023-12-11,4906.210666666667
Realty One,lista para construir,1164426,5,1,1.21,Plaza del Sol 66,Las Palmas,Madrid,22719,475,2023-06-03,2451.423157894737
Century 21,lista para la venta,946124,3,3,0.33,Calle Gran Vía 14,Las Palmas,Castilla-La Mancha,10965,373,2024-11-22,2536.5254691689006
Century 21,lista para construir,374897,1,2,0.44,Calle Gran Vía 36,Córdoba,Extremadura,60516,173,2024-08-20,2167.034682080925
Realty One,lista para construir,404021,4,1,0.17,Paseo de la Castellana 33,Murcia,Baleares,44278,164,2023-12-01,2463.5426829268295
Sotheby's,lista para construir,673097,6,3,0.12,Calle Mayor 143,Vigo,Canarias,52556,216,2024-11-01,3116.189814814815
RE/MAX,lista para construir,546670,2,3,1.77,Calle Mayor 168,Valladolid,Navarra,93051,171,2024-06-21,3196.9005847953217
Coldwell Banker,lista para construir,893288,3,2,0.12,Plaza España 3,Zaragoza,Extremadura,89277,350,2024-03-26,2552.2514285714287
Sotheby's,lista para construir,715639,6,4,0.18,Calle Alcalá 46,Palma,Baleares,38930,220,2023-06-07,3252.9045454545453
Century 21,lista para la venta,895828,4,2,0.94,Calle Serrano 55,Valladolid,País Vasco,30953,357,2023-07-23,2509.3221288515406
Keller Williams,lista para la venta,453724,5,4,0.8,Ronda de Valencia 10,Gijón,Cataluña,52156,108,2025-02-09,4201.148148148148
Sotheby's,lista para construir,505945,3,1,0.85,Calle Gran Vía 97,Murcia,Baleares,10474,186,2025-02-23,2720.1344086021504
Sotheby's,lista para construir,559271,2,3,0.55,Ronda de Valencia 78,Sevilla,Castilla-La Mancha,42924,207,2024-06-17,2701.792270531401
eXp Realty,lista para construir,1334131,2,1,1.53,Avenida Diagonal 150,Valencia,Murcia,65222,428,2025-01-06,3117.128504672897
Keller Williams,lista para construir,2018703,3,1,0.62,Avenida de la Constitución 132,Barcelona,Aragón,38712,462,2024-07-13,4369.487012987013
Compass,lista para construir,982438,2,2,0.34,Calle Alcalá 100,Gijón,Castilla y León,85331,447,2023-09-12,2197.847874720358
Realty One,lista para la venta,800223,2,2,1.36,Calle Alcalá 145,Sevilla,Valencia,39550,313,2023-08-29,2556.623003194888
RE/MAX,lista para la venta,514608,4,4,1.37,Avenida Diagonal 1,Las Palmas,Madrid,16727,162,2024-01-03,3176.5925925925926
eXp Realty,lista para construir,637537,6,3,1.51,Avenida de la Constitución 121,Málaga,Castilla-La Mancha,55677,170,2025-02-20,3750.2176470588233
Sotheby's,lista para la venta,1189503,3,4,0.25,Calle Serrano 55,Barcelona,Canarias,65913,232,2024-12-10,5127.168103448276
Berkshire Hathaway,lista para la venta,604380,5,1,1.42,Calle Mayor 47,Bilbao,Castilla-La Mancha,62293,119,2025-01-24,5078.823529411765
Berkshire Hathaway,lista para la venta,1883226,6,4,1.99,Calle Mayor 98,Bilbao,Asturias,93554,495,2025-02-20,3804.4969696969697
Century 21,lista para construir,589364,6,4,1.97,Avenida de la Constitución 2,Valladolid,Andalucía,97697,149,2023-10-26,3955.463087248322
eXp Realty,lista para la venta,605037,2,1,1.89,Calle Serrano 78,Bilbao,Cataluña,11990,150,2023-11-22,4033.58
Sotheby's,lista para construir,638108,3,3,1.08,Calle Mayor 50,Alicante,Asturias,86771,230,2023-08-12,2774.3826086956524
Berkshire Hathaway,lista para construir,432496,3,1,0.31,Avenida de la Constitución 125,Murcia,Navarra,87637,156,2024-11-28,2772.4102564102564
Coldwell Banker,lista para la venta,809843,2,3,0.74,Avenida Diagonal 72,Palma,Castilla y León,87349,317,2025-02-09,2554.7097791798105
Compass,lista para la venta,740826,5,3,0.95,Calle Gran Vía 50,Bilbao,País Vasco,92810,168,2024-03-11,4409.678571428572
Compass,lista para la venta,346887,5,3,1.17,Calle Gran Vía 185,Valladolid,Cataluña,16692,58,2024-08-09,5980.810344827586
Sotheby's,lista para construir,1213389,4,1,1.4,Calle Serrano 9,Valladolid,Cataluña,26016,497,2023-09-17,2441.4265593561367
Sotheby's,lista para construir,1786554,6,4,0.91,Calle Mayor 171,Barcelona,Madrid,66305,348,2025-03-13,5133.775862068966
RE/MAX,lista para la venta,857112,1,2,0.93,Calle Gran Vía 173,Gijón,Castilla-La Mancha,16497,369,2025-01-27,2322.79674796748
Sotheby's,lista para la venta,2062743,6,3,1.01,Plaza España 44,Barcelona,Extremadura,23238,438,2025-04-15,4709.458904109589
eXp Realty,lista para la venta,1170737,2,3,1.57,Avenida de la Constitución 64,Málaga,Madrid,78577,389,2024-12-20,3009.606683804627
Century 21,lista para la venta,1154728,6,1,0.75,Plaza España 148,Sevilla,Aragón,57416,418,2025-02-07,2762.507177033493
Coldwell Banker,lista para la venta,1042898,4,3,1.93,Calle Gran Vía 46,Vigo,Madrid,77066,414,2023-06-18,2519.07729468599
RE/MAX,lista para construir,837063,1,1,0.98,Calle Alcalá 131,Córdoba,Canarias,38917,342,2024-10-29,2447.5526315789475
Century 21,lista para la venta,1067416,5,2,0.37,Calle Serrano 103,Valladolid,Madrid,20041,443,2024-01-19,2409.5169300225734
Sotheby's,lista para la venta,1011218,5,3,0.73,Paseo de la Castellana 163,Gijón,Aragón,57563,368,2025-03-14,2747.875
Coldwell Banker,lista para construir,728244,3,3,1.96,Calle Serrano 12,Murcia,País Vasco,84783,277,2024-12-14,2629.0397111913358
Realty One,lista para construir,1187287,6,4,1.12,Calle Mayor 161,Vigo,Baleares,29473,460,2025-01-26,2581.058695652174
Realty One,lista para la venta,551887,6,2,0.34,Calle Gran Vía 142,Valladolid,Navarra,78002,171,2024-12-20,3227.409356725146
RE/MAX,lista para la venta,505727,6,1,0.16,Calle Serrano 35,Sevilla,Canarias,14537,131,2023-12-05,3860.5114503816794
Berkshire Hathaway,lista para construir,703713,1,1,1.37,Calle Serrano 103,Valladolid,Navarra,88472,305,2024-12-03,2307.255737704918
Compass,lista para construir,960387,5,2,0.43,Plaza España 52,Alicante,Canarias,27845,427,2023-08-15,2249.149882903981
Sotheby's,lista para la venta,822399,2,2,0.83,Avenida Diagonal 170,Barcelona,Aragón,70036,157,2025-02-01,5238.210191082802
Century 21,lista para la venta,624279,2,3,0.69,Calle Mayor 120,Las Palmas,Asturias,17414,212,2025-01-22,2944.7122641509436
Compass,lista para la venta,1302550,4,2,0.53,Plaza España 122,Barcelona,Galicia,52094,277,2023-11-03,4702.3465703971115
eXp Realty,lista para la venta,1094380,3,1,1.74,Plaza del Sol 35,Valencia,Madrid,84415,303,2024-12-24,3611.815181518152
Compass,lista para construir,1122462,2,3,1.82,Calle Alcalá 192,Murcia,Murcia,15033,490,2024-04-18,2290.738775510204
Compass,lista para construir,641615,5,1,2.0,Calle Gran Vía 142,Sevilla,Extremadura,52961,181,2023-12-31,3544.8342541436464
Keller Williams,lista para la venta,1524620,6,4,1.44,Calle Serrano 109,Barcelona,Canarias,96642,294,2024-12-09,5185.78231292517
Compass,lista para la venta,676991,3,2,1.2,Plaza España 198,Vigo,Navarra,16467,216,2023-11-07,3134.2175925925926
Sotheby's,lista para construir,450786,3,2,1.7,Calle Serrano 60,Las Palmas,Asturias,19284,119,2023-06-17,3788.1176470588234
RE/MAX,lista para construir,1279357,6,1,0.72,Calle Gran Vía 41,Málaga,Cataluña,47865,410,2023-10-14,3120.3829268292684
Realty One,lista para construir,950394,4,2,1.45,Calle Gran Vía 16,Valladolid,Madrid,89671,403,2024-01-17,2358.2977667493797
eXp Realty,lista para la venta,678997,2,1,1.07,Calle Serrano 173,Murcia,Navarra,26698,283,2025-01-26,2399.2826855123676
Realty One,lista para la venta,494189,6,2,1.87,Ronda de Valencia 193,Madrid,Valencia,87517,57,2025-04-08,8669.982456140351
Coldwell Banker,lista para la venta,562284,1,2,0.14,Paseo de la Castellana 126,Vigo,Navarra,95561,254,2023-12-13,2213.716535433071
RE/MAX,lista para construir,297451,4,2,0.92,Plaza del Sol 41,Murcia,Canarias,69500,51,2024-08-23,5832.3725490196075
RE/MAX,lista para construir,668494,3,3,1.41,Calle Alcalá 80,Gijón,Extremadura,70028,229,2024-03-07,2919.187772925764
RE/MAX,lista para la venta,948420,1,1,1.44,Avenida Diagonal 41,Valladolid,Castilla-La Mancha,13114,437,2025-04-18,2170.2974828375286
Sotheby's,lista para construir,526228,6,3,0.78,Plaza España 36,Valencia,Asturias,31052,126,2024-06-10,4176.412698412699
Sotheby's,lista para la venta,794304,2,1,1.92,Calle Alcalá 43,Murcia,Andalucía,64210,279,2025-03-20,2846.967741935484
Coldwell Banker,lista para construir,1233629,5,3,1.4,Plaza del Sol 66,Málaga,País Vasco,62995,403,2023-08-20,3061.1141439205953
Compass,lista para la venta,418690,5,2,1.59,Calle Alcalá 92,Valladolid,Aragón,12862,128,2025-04-11,3271.015625
Sotheby's,lista para construir,480130,2,1,0.28,Calle Mayor 2,Alicante,Andalucía,32041,212,2023-10-04,2264.764150943396
Keller Williams,lista para la venta,1499151,1,2,0.7,Paseo de la Castellana 60,Bilbao,Baleares,41212,426,2025-04-05,3519.1338028169016
Coldwell Banker,lista para la venta,1062418,3,3,0.98,Avenida de la Constitución 192,Córdoba,Baleares,50848,441,2023-12-04,2409.1111111111113
eXp Realty,lista para la venta,938633,1,1,1.07,Ronda de Valencia 97,Gijón,Extremadura,22223,408,2023-08-15,2300.5710784313724
eXp Realty,lista para construir,351448,5,1,1.09,Calle Alcalá 139,Valladolid,País Vasco,92867,59,2024-03-31,5956.745762711865
Keller Williams,lista para la venta,686301,1,1,1.78,Calle Mayor 200,Córdoba,País Vasco,28522,291,2024-10-23,2358.422680412371
Keller Williams,lista para construir,897808,6,4,1.6,Calle Serrano 132,Murcia,Madrid,39938,314,2024-01-06,2859.2611464968154
Coldwell Banker,lista para construir,965721,3,2,1.69,Calle Mayor 27,Barcelona,Canarias,98430,200,2024-07-29,4828.605
Coldwell Banker,lista para construir,971119,5,1,1.64,Ronda de Valencia 143,Las Palmas,Castilla y León,34115,343,2024-05-24,2831.2507288629736
Sotheby's,lista para la venta,1044924,4,3,1.79,Calle Gran Vía 197,Córdoba,País Vasco,25100,423,2024-02-26,2470.2695035460993
Sotheby's,lista para construir,401912,1,1,0.15,Avenida de la Constitución 194,Sevilla,Baleares,95326,173,2024-07-09,2323.190751445087
Century 21,lista para la venta,813412,1,1,1.67,Paseo de la Castellana 165,Zaragoza,Asturias,10837,326,2023-11-26,2495.128834355828
Sotheby's,lista para construir,956641,3,1,1.48,Plaza del Sol 137,Málaga,Aragón,57908,309,2024-10-09,3095.925566343042
Coldwell Banker,lista para la venta,823478,4,2,1.72,Calle Gran Vía 128,Valladolid,País Vasco,74864,267,2023-06-02,3084.187265917603
Coldwell Banker,lista para la venta,512863,1,2,0.55,Avenida de la Constitución 16,Gijón,Baleares,83930,193,2025-03-10,2657.321243523316
eXp Realty,lista para la venta,1323708,5,1,0.7,Paseo de la Castellana 177,Bilbao,Canarias,95077,377,2024-06-12,3511.1618037135277
Realty One,lista para la venta,937642,2,2,1.93,Calle Serrano 33,Madrid,Aragón,92913,182,2024-10-17,5151.879120879121
RE/MAX,lista para construir,494817,5,1,1.89,Avenida de la Constitución 131,Murcia,Canarias,67152,167,2024-11-02,2962.9760479041915
eXp Realty,lista para construir,861196,3,3,1.9,Calle Mayor 107,Gijón,Galicia,69477,318,2024-09-13,2708.1635220125786
Realty One,lista para la venta,1113883,4,1,0.72,Avenida Diagonal 87,Córdoba,Cataluña,98950,494,2024-02-11,2254.823886639676
eXp Realty,lista para construir,1030654,2,1,1.16,Paseo de la Castellana 72,Córdoba,Andalucía,33618,471,2023-07-20,2188.2250530785564
Berkshire Hathaway,lista para construir,449715,3,1,1.49,Calle Serrano 171,Bilbao,Extremadura,27204,86,2024-09-08,5229.2441860465115
Coldwell Banker,lista para construir,353853,1,1,1.96,Avenida Diagonal 86,Zaragoza,Extremadura,12832,89,2024-01-18,3975.876404494382
Coldwell Banker,lista para la venta,989283,4,2,0.87,Plaza España 7,Gijón,Canarias,68831,412,2024-01-07,2401.1723300970875
Sotheby's,lista para la venta,1394539,6,1,1.97,Calle Serrano 194,Sevilla,Galicia,20801,498,2025-01-15,2800.2791164658634
Sotheby's,lista para construir,778108,1,2,1.94,Plaza del Sol 193,Vigo,Navarra,89649,272,2024-10-17,2860.6911764705883
Keller Williams,lista para la venta,557421,5,2,0.38,Ronda de Valencia 127,Vigo,Castilla y León,36171,218,2023-12-28,2556.9770642201834
Sotheby's,lista para construir,1578493,3,1,1.41,Calle Mayor 160,Valencia,Navarra,99670,482,2024-01-03,3274.8817427385893
Realty One,lista para la venta,917266,5,3,1.31,Calle Alcalá 28,Murcia,Madrid,35045,371,2024-03-13,2472.4150943396226
Compass,lista para construir,630619,1,1,0.95,Ronda de Valencia 166,Alicante,Asturias,68454,241,2024-03-09,2616.6763485477177
Sotheby's,lista para construir,1034663,5,1,1.57,Avenida de la Constitución 182,Valladolid,Extremadura,71119,429,2023-12-25,2411.8018648018647
Keller Williams,lista para construir,848654,5,3,0.7,Paseo de la Castellana 127,Córdoba,Castilla-La Mancha,41950,348,2023-08-29,2438.6609195402298
Compass,lista para construir,640243,2,2,1.02,Plaza del Sol 90,Palma,Canarias,22931,240,2024-03-21,2667.679166666667
Compass,lista para la venta,1036517,1,2,0.67,Plaza del Sol 163,Gijón,Andalucía,49524,483,2025-03-21,2145.9979296066253
Berkshire Hathaway,lista para la venta,1174943,5,1,1.78,Plaza España 19,Las Palmas,Castilla-La Mancha,71195,456,2024-09-17,2576.629385964912
Berkshire Hathaway,lista para la venta,476780,5,3,0.54,Plaza del Sol 45,Palma,Castilla-La Mancha,16770,130,2025-02-22,3667.5384615384614
Realty One,lista para la venta,800548,1,1,1.78,Plaza del Sol 119,Alicante,País Vasco,94222,362,2024-08-05,2211.4585635359117
Compass,lista para construir,626185,2,3,1.76,Calle Mayor 46,Sevilla,Castilla y León,45588,165,2023-12-28,3795.060606060606
Century 21,lista para la venta,716893,1,2,1.31,Paseo de la Castellana 54,Valladolid,Castilla-La Mancha,79436,282,2024-06-19,2542.173758865248
Sotheby's,lista para construir,554831,2,1,0.81,Avenida Diagonal 127,Valladolid,Madrid,48757,222,2023-06-01,2499.238738738739
Berkshire Hathaway,lista para la venta,2349615,6,3,1.4,Paseo de la Castellana 38,Barcelona,Valencia,45234,493,2023-12-19,4765.953346855984
Berkshire Hathaway,lista para construir,272027,1,2,1.78,Calle Alcalá 42,Zaragoza,Navarra,22917,70,2024-03-28,3886.1
RE/MAX,lista para construir,833511,4,4,0.78,Paseo de la Castellana 75,Zaragoza,Castilla y León,44829,284,2024-07-11,2934.8978873239435
Keller Williams,lista para la venta,406816,6,4,0.88,Paseo de la Castellana 33,Córdoba,Andalucía,94125,83,2024-09-01,4901.3975903614455
RE/MAX,lista para la venta,474062,6,2,1.61,Plaza del Sol 164,Zaragoza,Galicia,96711,127,2024-04-21,3732.771653543307
Coldwell Banker,lista para construir,372065,6,2,1.72,Avenida Diagonal 121,Murcia,Castilla-La Mancha,94149,57,2024-04-05,6527.456140350877
eXp Realty,lista para la venta,490016,1,2,0.36,Avenida Diagonal 115,Córdoba,Extremadura,69459,218,2023-10-28,2247.7798165137615
eXp Realty,lista para construir,1316901,3,1,1.93,Calle Alcalá 48,Málaga,Baleares,65712,431,2024-04-27,3055.4547563805104
Coldwell Banker,lista para construir,1028823,2,1,0.97,Plaza España 197,Gijón,Asturias,34240,432,2025-02-21,2381.534722222222
Realty One,lista para construir,854564,3,3,0.14,Calle Mayor 150,Córdoba,País Vasco,42641,396,2024-12-10,2157.989898989899
Realty One,lista para construir,969963,3,4,1.45,Calle Mayor 159,Sevilla,País Vasco,60187,358,2023-09-27,2709.393854748603
Berkshire Hathaway,lista para la venta,1086613,1,2,0.32,Calle Alcalá 86,Alicante,Extremadura,67435,493,2023-07-30,2204.083164300203
Compass,lista para la venta,859346,1,2,0.95,Avenida de la Constitución 54,Gijón,Aragón,23955,346,2024-05-27,2483.658959537572
Sotheby's,lista para la venta,996285,6,4,0.16,Calle Gran Vía 191,Barcelona,Murcia,53156,199,2024-08-17,5006.457286432161
Realty One,lista para la venta,1557143,3,2,1.75,Calle Mayor 136,Madrid,Canarias,14317,313,2024-01-21,4974.897763578275
Realty One,lista para construir,677452,1,1,1.03,Ronda de Valencia 89,Las Palmas,Andalucía,58882,263,2024-12-25,2575.8631178707224
Keller Williams,lista para construir,548325,1,2,1.56,Plaza España 89,Murcia,Valencia,59013,197,2024-11-08,2783.3756345177667
