brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
Century 21,lista para la venta,941974,4,3,1.12,Calle Serrano 22,Madrid,Extremadura,18079,149,2025-02-14
eXp Realty,lista para la venta,751128,2,3,1.81,Plaza del Sol 42,Barcelona,Andalucía,53446,144,2023-11-20
Compass,lista para construir,740341,1,2,1.6,Calle Gran Vía 128,Las Palmas,Madrid,72689,261,2024-07-21
Coldwell Banker,lista para la venta,868829,6,1,1.25,Calle Serrano 48,Barcelona,Murcia,75592,153,2024-08-08
Berkshire Hathaway,lista para construir,722595,6,2,1.82,Avenida Diagonal 7,Córdoba,País Vasco,21143,227,2024-03-20
Coldwell Banker,lista para construir,592890,1,2,0.43,Ronda de Valencia 195,Bilbao,Asturias,77540,170,2024-07-14
Century 21,lista para la venta,601012,3,1,0.76,Ronda de Valencia 86,Valencia,Valencia,54725,184,2024-06-01
Sotheby's,lista para construir,1212822,5,1,1.47,Calle Alcalá 23,Zaragoza,Castilla y León,97588,469,2025-03-17
eXp Realty,lista para construir,737422,5,3,0.73,Calle Gran Vía 52,Palma,Andalucía,35934,269,2023-10-22
Realty One,lista para la venta,1149109,4,3,0.36,Paseo de la Castellana 149,Las Palmas,Cataluña,68498,472,2024-10-15
RE/MAX,lista para la venta,645079,6,1,0.41,Paseo de la Castellana 95,Córdoba,Andalucía,61199,230,2023-11-15
Realty One,lista para construir,817795,1,2,1.42,Calle Serrano 115,Sevilla,Castilla-La Mancha,75245,295,2024-03-04
eXp Realty,lista para la venta,604247,3,3,1.52,Calle Mayor 9,Vigo,Cataluña,33355,175,2024-09-13
Keller Williams,lista para la venta,781989,5,4,0.8,Paseo de la Castellana 83,Vigo,Castilla-La Mancha,55006,308,2023-12-28
RE/MAX,lista para la venta,1557710,4,1,0.67,Calle Mayor 157,Bilbao,Murcia,36630,441,2024-01-08
RE/MAX,lista para construir,833751,4,2,0.11,Ronda de Valencia 36,Valencia,Castilla y León,29705,256,2024-11-09
Realty One,lista para construir,865451,6,2,1.75,Paseo de la Castellana 83,Palma,Extremadura,94593,275,2023-07-21
RE/MAX,lista para construir,1489716,3,2,1.58,Paseo de la Castellana 167,Málaga,País Vasco,39144,482,2024-04-17
RE/MAX,lista para construir,2418258,6,3,0.93,Avenida de la Constitución 136,Madrid,Navarra,29566,472,2025-04-30
Compass,lista para la venta,857611,1,2,0.45,Paseo de la Castellana 21,Málaga,Cataluña,54334,288,2025-04-29
Century 21,lista para construir,1549404,3,1,0.41,Plaza del Sol 112,Bilbao,Aragón,83512,439,2023-07-22
Coldwell Banker,lista para construir,681363,1,1,0.12,Plaza España 163,Córdoba,Murcia,97033,274,2023-10-28
Coldwell Banker,lista para la venta,588571,4,2,1.44,Paseo de la Castellana 85,Sevilla,País Vasco,26506,150,2023-12-03
Coldwell Banker,lista para la venta,549118,1,2,0.63,Avenida de la Constitución 12,Gijón,Extremadura,62425,250,2025-03-16
eXp Realty,lista para construir,477954,2,2,1.27,Calle Mayor 105,Palma,Baleares,58722,190,2025-02-07
Sotheby's,lista para construir,982654,3,4,0.94,Calle Mayor 149,Sevilla,Murcia,38162,346,2025-02-06
Berkshire Hathaway,lista para construir,343183,5,2,1.93,Avenida de la Constitución 68,Málaga,Navarra,90004,64,2024-02-15
Sotheby's,lista para la venta,951303,2,3,1.28,Calle Alcalá 151,Alicante,Navarra,45420,410,2023-09-19
Sotheby's,lista para la venta,493739,5,3,1.41,Avenida Diagonal 19,Málaga,Aragón,18661,97,2025-01-05
Coldwell Banker,lista para construir,620318,4,3,1.37,Ronda de Valencia 183,Gijón,Castilla y León,92917,173,2024-10-06
eXp Realty,lista para la venta,372265,1,1,1.83,Paseo de la Castellana 20,Palma,País Vasco,79617,108,2024-08-02
Keller Williams,lista para la venta,1198014,6,4,1.87,Plaza España 104,Gijón,Extremadura,81548,427,2025-04-23
Keller Williams,lista para la venta,753532,4,1,1.17,Paseo de la Castellana 196,Zaragoza,Extremadura,62947,275,2024-09-01
Sotheby's,lista para la venta,415182,3,3,0.91,Calle Alcalá 42,Zaragoza,Madrid,21929,109,2023-06-06
Coldwell Banker,lista para la venta,642133,5,2,0.26,Avenida de la Constitución 12,Gijón,Asturias,28302,227,2024-12-24
Coldwell Banker,lista para construir,837721,5,1,1.89,Avenida Diagonal 170,Valladolid,Canarias,93494,308,2023-12-27
Sotheby's,lista para la venta,1222099,5,3,1.48,Avenida de la Constitución 141,Valladolid,Extremadura,66298,462,2024-09-08
Realty One,lista para construir,977911,3,2,0.84,Calle Mayor 81,Las Palmas,Andalucía,42435,374,2025-03-20
Sotheby's,lista para la venta,1036453,1,1,0.3,Ronda de Valencia 58,Málaga,Valencia,87697,378,2023-09-03
RE/MAX,lista para construir,1269840,6,2,1.67,Avenida de la Constitución 61,Sevilla,Murcia,48947,439,2023-08-20
Keller Williams,lista para construir,872704,5,3,1.88,Plaza España 120,Palma,Aragón,46400,303,2023-08-15
eXp Realty,lista para construir,381729,3,4,0.12,Calle Serrano 86,Las Palmas,Baleares,14857,104,2024-06-22
RE/MAX,lista para la venta,831111,3,4,0.59,Avenida Diagonal 164,Sevilla,Aragón,51409,292,2023-12-08
Coldwell Banker,lista para construir,835533,5,3,1.68,Calle Serrano 188,Palma,Canarias,56153,281,2024-07-28
Sotheby's,lista para la venta,1070190,6,4,0.93,Avenida Diagonal 100,Sevilla,Asturias,20831,380,2024-10-16
Coldwell Banker,lista para construir,1035192,4,4,0.54,Avenida Diagonal 155,Las Palmas,Madrid,59668,398,2023-10-21
Keller Williams,lista para construir,655440,3,4,0.18,Ronda de Valencia 37,Barcelona,Castilla y León,89054,132,2024-08-18
eXp Realty,lista para construir,477560,3,3,0.99,Plaza del Sol 148,Alicante,Galicia,65613,161,2023-12-03
eXp Realty,lista para construir,1842585,4,3,0.38,Plaza España 153,Barcelona,Castilla-La Mancha,69672,404,2024-05-08
eXp Realty,lista para la venta,1050477,2,3,1.32,Calle Gran Vía 145,Valladolid,Castilla y León,19972,454,2025-02-24
eXp Realty,lista para la venta,1134449,4,4,0.9,Calle Serrano 190,Murcia,Castilla-La Mancha,56293,454,2025-01-14
Compass,lista para construir,770104,2,1,0.93,Calle Gran Vía 155,Zaragoza,Extremadura,89838,320,2023-08-04
Sotheby's,lista para la venta,856708,2,3,1.33,Avenida de la Constitución 22,Gijón,Murcia,44831,358,2024-03-23
Sotheby's,lista para construir,565900,6,1,0.53,Calle Serrano 163,Valencia,Asturias,32446,116,2023-12-11
Century 21,lista para la venta,434135,2,3,0.94,Calle Gran Vía 119,Sevilla,Aragón,70879,137,2023-06-03
Sotheby's,lista para construir,656306,3,1,1.52,Ronda de Valencia 32,Palma,Valencia,38460,270,2024-11-22
Realty One,lista para construir,1202416,5,2,1.52,Calle Serrano 120,Bilbao,Galicia,99552,299,2024-08-20
Berkshire Hathaway,lista para construir,1003286,3,3,1.74,Plaza del Sol 45,Palma,Andalucía,27864,365,2023-12-01
eXp Realty,lista para construir,493479,4,2,0.84,Plaza del Sol 5,Barcelona,Valencia,88452,93,2024-11-01
Sotheby's,lista para la venta,926118,2,3,1.76,Avenida Diagonal 183,Murcia,Andalucía,23735,375,2024-06-21
Keller Williams,lista para construir,321180,1,1,0.42,Calle Gran Vía 164,Sevilla,Andalucía,17000,85,2024-03-26
Compass,lista para construir,814063,2,1,0.97,Calle Alcalá 62,Málaga,Valencia,65782,242,2023-06-07
Compass,lista para construir,271989,1,1,1.43,Paseo de la Castellana 60,Valladolid,Navarra,67045,67,2023-07-23
Keller Williams,lista para construir,725361,5,1,1.24,Avenida Diagonal 50,Vigo,Castilla y León,30273,283,2025-02-09
Keller Williams,lista para la venta,406072,2,2,0.98,Calle Gran Vía 125,Córdoba,Valencia,80717,104,2025-02-23
Century 21,lista para la venta,732333,5,2,1.3,Avenida de la Constitución 129,Zaragoza,Castilla-La Mancha,61090,221,2024-06-17
Century 21,lista para construir,549348,1,1,1.86,Calle Serrano 137,Las Palmas,Aragón,28339,234,2025-01-06
Keller Williams,lista para construir,920189,2,1,1.35,Calle Gran Vía 141,Málaga,Extremadura,73816,309,2024-07-13
Coldwell Banker,lista para la venta,921948,6,1,1.46,Ronda de Valencia 89,Barcelona,Castilla-La Mancha,15140,173,2023-09-12
Century 21,lista para construir,856156,2,2,0.4,Plaza España 135,Palma,Navarra,46344,402,2023-08-29
Century 21,lista para construir,1575006,4,3,0.65,Paseo de la Castellana 89,Valencia,Galicia,61290,484,2024-01-03
RE/MAX,lista para construir,612025,3,2,0.31,Plaza España 13,Valencia,Madrid,63328,174,2025-02-20
Compass,lista para construir,816795,1,1,1.73,Paseo de la Castellana 127,Sevilla,Cataluña,80851,321,2024-12-10
eXp Realty,lista para la venta,343158,2,1,0.13,Avenida Diagonal 162,Valencia,Murcia,50178,93,2025-01-24
Century 21,lista para construir,1346979,5,3,1.01,Calle Serrano 187,Valencia,Valencia,60661,385,2025-02-20
Sotheby's,lista para la venta,1718108,4,2,0.69,Calle Mayor 119,Bilbao,Cataluña,18584,482,2023-10-26
RE/MAX,lista para construir,735570,2,1,1.71,Avenida de la Constitución 20,Gijón,Murcia,58847,275,2023-11-22
Century 21,lista para la venta,2346797,5,4,1.61,Avenida Diagonal 27,Madrid,Andalucía,64269,476,2023-08-12
Berkshire Hathaway,lista para construir,1065946,6,1,0.54,Calle Serrano 150,Valladolid,Aragón,89450,447,2024-11-28
Century 21,lista para la venta,589673,5,3,0.27,Calle Gran Vía 124,Murcia,Canarias,34209,227,2025-02-09
Keller Williams,lista para construir,764789,6,1,0.32,Calle Serrano 72,Gijón,País Vasco,28280,262,2024-03-11
Compass,lista para construir,841608,3,2,1.44,Paseo de la Castellana 169,Alicante,Madrid,74635,295,2024-08-09
eXp Realty,lista para construir,904446,5,3,0.18,Plaza España 101,Gijón,Castilla y León,72589,385,2023-09-17
RE/MAX,lista para construir,988305,4,1,1.09,Calle Mayor 39,Málaga,Castilla y León,19988,322,2025-03-13
Compass,lista para construir,400789,6,3,1.87,Plaza España 64,Córdoba,Asturias,66087,60,2025-01-27
Keller Williams,lista para construir,745441,4,3,1.44,Calle Gran Vía 156,Gijón,Galicia,62245,247,2025-04-15
Coldwell Banker,lista para la venta,826154,4,3,1.95,Paseo de la Castellana 46,Murcia,Cataluña,93818,281,2024-12-20
Berkshire Hathaway,lista para construir,789732,3,1,0.52,Ronda de Valencia 100,Murcia,Castilla-La Mancha,79496,326,2025-02-07
RE/MAX,lista para la venta,1017556,2,1,0.26,Calle Mayor 64,Málaga,País Vasco,11797,337,2023-06-18
RE/MAX,lista para construir,463831,4,4,0.67,Paseo de la Castellana 196,Málaga,Castilla y León,63831,96,2024-10-29
RE/MAX,lista para la venta,923076,3,3,1.01,Calle Alcalá 118,Zaragoza,Navarra,78448,395,2024-01-19
eXp Realty,lista para la venta,1840551,4,2,1.81,Ronda de Valencia 5,Barcelona,Castilla y León,28745,402,2025-03-14
Coldwell Banker,lista para la venta,915994,1,1,1.08,Calle Serrano 50,Murcia,Cataluña,99787,383,2024-12-14
eXp Realty,lista para construir,679834,4,3,2.0,Calle Gran Vía 27,Murcia,Madrid,77018,200,2025-01-26
Century 21,lista para la venta,558840,2,3,0.23,Plaza España 92,Valencia,Aragón,65732,162,2024-12-20
Berkshire Hathaway,lista para construir,400276,6,2,0.68,Avenida Diagonal 162,Barcelona,Murcia,41454,56,2023-12-05
Keller Williams,lista para la venta,983738,4,1,1.53,Calle Serrano 106,Córdoba,País Vasco,28231,418,2024-12-03
Realty One,lista para construir,1057568,3,3,0.99,Paseo de la Castellana 73,Alicante,Galicia,80248,410,2023-08-15
Realty One,lista para la venta,629402,3,1,0.56,Paseo de la Castellana 129,Palma,Asturias,25176,218,2025-02-01
eXp Realty,lista para construir,507557,1,1,0.26,Calle Serrano 158,Las Palmas,Murcia,48927,181,2025-01-22
Berkshire Hathaway,lista para la venta,278627,1,2,0.56,Calle Mayor 128,Vigo,Murcia,96028,101,2023-11-03
Compass,lista para construir,813148,1,2,0.74,Calle Gran Vía 67,Valencia,Canarias,54865,259,2024-12-24
Realty One,lista para la venta,858114,2,3,1.23,Calle Serrano 133,Valencia,Castilla-La Mancha,45272,223,2024-04-18
RE/MAX,lista para construir,1322920,1,2,1.32,Calle Gran Vía 160,Barcelona,Navarra,56593,282,2023-12-31
RE/MAX,lista para la venta,1004605,3,2,0.9,Plaza del Sol 84,Las Palmas,Madrid,34411,396,2024-12-09
RE/MAX,lista para la venta,1043669,5,4,1.35,Paseo de la Castellana 152,Sevilla,Andalucía,68298,366,2023-11-07
eXp Realty,lista para construir,1137150,1,1,1.83,Avenida Diagonal 179,Valladolid,Extremadura,13717,458,2023-06-17
eXp Realty,lista para construir,804660,4,4,1.69,Calle Mayor 17,Vigo,Andalucía,17081,275,2023-10-14
Realty One,lista para la venta,476241,6,3,1.01,Calle Gran Vía 130,Córdoba,Galicia,81110,133,2024-01-17
Realty One,lista para la venta,608564,2,2,1.0,Calle Mayor 95,Alicante,Canarias,77703,261,2025-01-26
Coldwell Banker,lista para la venta,956631,4,2,0.29,Calle Gran Vía 164,Málaga,Cataluña,21080,329,2025-04-08
Keller Williams,lista para la venta,816849,1,2,1.79,Paseo de la Castellana 115,Las Palmas,Extremadura,93014,363,2023-12-13
Berkshire Hathaway,lista para construir,446350,1,2,1.71,Avenida Diagonal 93,Zaragoza,Extremadura,67790,176,2024-08-23
Keller Williams,lista para la venta,2020674,4,4,1.18,Plaza España 177,Barcelona,Asturias,79091,413,2024-03-07
RE/MAX,lista para la venta,694131,5,4,1.91,Plaza España 36,Murcia,Castilla y León,62523,177,2025-04-18
RE/MAX,lista para la venta,536853,2,1,0.69,Avenida de la Constitución 104,Córdoba,Cataluña,51561,224,2024-06-10
Berkshire Hathaway,lista para construir,836389,4,2,0.85,Paseo de la Castellana 99,Vigo,Asturias,78600,359,2025-03-20
Sotheby's,lista para construir,342830,3,1,1.1,Avenida Diagonal 17,Córdoba,Canarias,94322,106,2023-08-20
Sotheby's,lista para la venta,1170544,4,2,1.59,Calle Mayor 25,Palma,Madrid,14555,496,2025-04-11
Compass,lista para construir,1900240,2,2,1.33,Plaza del Sol 111,Barcelona,Castilla-La Mancha,60967,412,2023-10-04
eXp Realty,lista para la venta,1218822,6,2,0.56,Avenida de la Constitución 148,Palma,Asturias,62942,474,2025-04-05
Coldwell Banker,lista para construir,916428,3,2,0.46,Calle Serrano 137,Bilbao,Navarra,63348,275,2023-12-04
Sotheby's,lista para construir,836866,4,3,0.6,Plaza del Sol 121,Málaga,Cataluña,46035,236,2023-08-15
eXp Realty,lista para la venta,1059769,3,2,0.71,Avenida de la Constitución 93,Barcelona,Cataluña,90370,217,2024-03-31
Sotheby's,lista para la venta,720349,5,3,1.7,Ronda de Valencia 95,Zaragoza,Murcia,44894,201,2024-10-23
Keller Williams,lista para la venta,348516,2,2,1.78,Avenida de la Constitución 73,Gijón,Madrid,36656,108,2024-01-06
eXp Realty,lista para la venta,807889,2,1,0.1,Avenida de la Constitución 116,Bilbao,Canarias,62270,220,2024-07-29
Coldwell Banker,lista para la venta,929553,5,1,1.04,Calle Mayor 58,Alicante,Castilla-La Mancha,53787,333,2024-05-24
Coldwell Banker,lista para la venta,1161445,6,2,1.64,Avenida Diagonal 200,Murcia,Canarias,37613,423,2024-02-26
Compass,lista para construir,209542,1,1,0.85,Calle Gran Vía 92,Alicante,Aragón,91275,81,2024-07-09
Sotheby's,lista para construir,776719,4,2,1.44,Plaza del Sol 5,Málaga,País Vasco,14671,208,2023-11-26
Berkshire Hathaway,lista para construir,613607,6,3,0.69,Ronda de Valencia 174,Palma,Castilla y León,36778,170,2024-10-09
Keller Williams,lista para construir,746902,4,2,0.55,Paseo de la Castellana 36,Valladolid,Castilla y León,28972,267,2023-06-02
Realty One,lista para la venta,546460,3,3,1.82,Paseo de la Castellana 64,Málaga,Andalucía,33877,102,2025-03-10
Century 21,lista para la venta,349299,3,3,0.79,Ronda de Valencia 181,Valencia,Murcia,79728,51,2024-06-12
RE/MAX,lista para construir,623783,3,4,0.72,Avenida de la Constitución 36,Sevilla,Navarra,44132,185,2024-10-17
Coldwell Banker,lista para construir,667542,4,3,1.7,Avenida de la Constitución 19,Córdoba,Murcia,88287,241,2024-11-02
eXp Realty,lista para construir,328581,2,3,0.95,Calle Mayor 146,Las Palmas,Valencia,38556,67,2024-09-13
Sotheby's,lista para construir,768590,1,2,0.55,Plaza España 127,Sevilla,Valencia,30728,320,2024-02-11
Berkshire Hathaway,lista para construir,967826,5,1,1.15,Paseo de la Castellana 196,Valencia,Murcia,93340,288,2023-07-20
RE/MAX,lista para construir,1280818,5,2,1.76,Avenida de la Constitución 36,Gijón,Castilla y León,43245,484,2024-09-08
Century 21,lista para la venta,793455,6,3,0.79,Ronda de Valencia 36,Gijón,Murcia,16259,268,2024-01-18
Century 21,lista para la venta,1084088,1,1,0.69,Calle Gran Vía 186,Sevilla,Canarias,92139,471,2024-01-07
eXp Realty,lista para la venta,1058440,5,1,1.96,Avenida Diagonal 172,Bilbao,Canarias,91207,275,2025-01-15
Sotheby's,lista para la venta,661648,5,2,1.05,Ronda de Valencia 117,Zaragoza,País Vasco,71402,229,2024-10-17
Compass,lista para la venta,1128714,6,3,1.29,Calle Serrano 195,Vigo,Valencia,54187,418,2023-12-28
Berkshire Hathaway,lista para construir,329753,2,2,1.96,Ronda de Valencia 50,Córdoba,Valencia,38926,91,2024-01-03
Coldwell Banker,lista para la venta,175994,1,1,0.38,Plaza del Sol 94,Alicante,Castilla y León,35216,62,2024-03-13
Sotheby's,lista para construir,1054920,2,3,0.53,Calle Alcalá 100,Málaga,Madrid,16986,355,2024-03-09
Berkshire Hathaway,lista para la venta,1267357,6,4,1.23,Avenida de la Constitución 22,Vigo,Andalucía,90326,490,2023-12-25
Keller Williams,lista para la venta,471958,5,1,0.68,Calle Mayor 123,Valencia,Aragón,66051,123,2023-08-29
RE/MAX,lista para la venta,824666,1,2,0.49,Calle Gran Vía 150,Valencia,Asturias,47267,244,2024-03-21
eXp Realty,lista para la venta,1235401,2,1,1.07,Plaza del Sol 29,Madrid,Castilla-La Mancha,72586,234,2025-03-21
eXp Realty,lista para la venta,755208,4,3,1.26,Calle Gran Vía 122,Vigo,Canarias,95582,262,2024-09-17
RE/MAX,lista para construir,579816,6,1,0.59,Calle Mayor 127,Alicante,Canarias,28603,169,2025-02-22
Sotheby's,lista para construir,664547,5,4,1.67,Calle Mayor 153,Zaragoza,Murcia,36940,163,2024-08-05
Compass,lista para la venta,519393,1,2,1.33,Plaza del Sol 17,Sevilla,Asturias,93571,155,2023-12-28
Coldwell Banker,lista para construir,746279,1,2,1.01,Calle Gran Vía 194,Valladolid,Murcia,50981,298,2024-06-19
RE/MAX,lista para la venta,869775,2,3,1.34,Calle Gran Vía 192,Zaragoza,Baleares,19884,319,2023-06-01
eXp Realty,lista para la venta,964201,1,1,0.71,Avenida de la Constitución 92,Murcia,Extremadura,36755,470,2023-12-19
Keller Williams,lista para construir,829154,2,3,0.4,Ronda de Valencia 81,Sevilla,Aragón,82329,307,2024-03-28
Berkshire Hathaway,lista para construir,823237,1,1,0.16,Plaza España 37,Palma,Castilla y León,92541,360,2024-07-11
eXp Realty,lista para construir,385875,5,3,0.2,Calle Serrano 26,Valencia,Cataluña,93020,66,2024-09-01
Coldwell Banker,lista para la venta,1072964,1,1,1.94,Plaza España 195,Valencia,Murcia,51042,337,2024-04-21
Berkshire Hathaway,lista para construir,1043198,1,2,1.11,Ronda de Valencia 172,Madrid,Murcia,17136,193,2024-04-05
eXp Realty,lista para construir,1219184,6,2,1.25,Calle Serrano 158,Palma,Canarias,60298,463,2023-10-28
Keller Williams,lista para construir,389756,3,3,0.78,Avenida de la Constitución 77,Palma,Valencia,74997,84,2024-04-27
Century 21,lista para construir,1144932,6,4,0.29,Avenida de la Constitución 120,Madrid,Andalucía,47106,195,2025-02-21
RE/MAX,lista para la venta,971058,1,2,0.92,Avenida Diagonal 48,Barcelona,Baleares,98411,214,2024-12-10
Realty One,lista para la venta,450858,5,4,1.09,Plaza del Sol 16,Gijón,Castilla y León,59503,115,2023-09-27
Keller Williams,lista para construir,402742,4,1,0.65,Plaza del Sol 134,Palma,Valencia,87863,145,2023-07-30
Realty One,lista para la venta,1201034,5,1,1.12,Plaza del Sol 132,Bilbao,Galicia,96064,320,2024-05-27
Berkshire Hathaway,lista para construir,774876,1,1,1.55,Avenida Diagonal 177,Gijón,Castilla-La Mancha,14216,345,2024-08-17
Sotheby's,lista para la venta,414769,1,1,1.44,Calle Gran Vía 48,Alicante,Castilla y León,40036,145,2024-01-21
eXp Realty,lista para la venta,2255833,1,2,1.63,Calle Mayor 102,Madrid,Asturias,98288,482,2024-12-25
Coldwell Banker,lista para la venta,829039,5,1,0.94,Avenida Diagonal 180,Murcia,Galicia,71093,301,2024-11-08
Coldwell Banker,lista para la venta,1259681,6,2,0.95,Plaza del Sol 185,Murcia,Castilla-La Mancha,37020,485,2024-09-14
Compass,lista para construir,841755,6,2,1.15,Calle Gran Vía 17,Vigo,Castilla-La Mancha,19477,289,2023-11-05
Coldwell Banker,lista para la venta,747473,5,4,1.87,Plaza del Sol 102,Gijón,Baleares,19979,219,2023-10-18
RE/MAX,lista para construir,702453,4,4,0.44,Calle Serrano 146,Valladolid,Navarra,23704,230,2023-06-18
eXp Realty,lista para construir,593598,3,3,0.23,Avenida de la Constitución 96,Vigo,Madrid,73483,239,2023-11-19
Keller Williams,lista para la venta,561167,1,2,1.19,Calle Serrano 183,Gijón,Baleares,83104,192,2024-04-29
Sotheby's,lista para la venta,916833,5,4,1.5,Calle Serrano 91,Gijón,Navarra,33508,352,2025-01-16
RE/MAX,lista para la venta,1060726,2,2,0.36,Plaza del Sol 126,Gijón,País Vasco,54896,437,2023-07-22
Berkshire Hathaway,lista para construir,1235551,5,4,1.78,Calle Serrano 12,Vigo,Aragón,99851,464,2024-03-17
Coldwell Banker,lista para la venta,248462,3,1,0.43,Avenida Diagonal 118,Palma,Baleares,48391,66,2024-08-15
Keller Williams,lista para la venta,2118791,3,2,0.29,Plaza España 169,Madrid,Castilla y León,23608,436,2023-10-15
eXp Realty,lista para la venta,2228574,1,2,0.8,Plaza del Sol 32,Madrid,Asturias,84910,471,2024-10-01
eXp Realty,lista para la venta,1092928,3,4,0.71,Plaza España 118,Valladolid,Castilla-La Mancha,43778,451,2024-05-12
RE/MAX,lista para la venta,280893,1,2,0.17,Plaza España 146,Córdoba,Baleares,33652,69,2023-11-19
Sotheby's,lista para construir,1008412,4,2,0.66,Ronda de Valencia 78,Sevilla,Murcia,80970,382,2024-09-02
Century 21,lista para construir,1230706,4,1,1.56,Calle Alcalá 134,Málaga,País Vasco,15496,426,2023-06-04
Berkshire Hathaway,lista para la venta,934431,5,3,0.98,Calle Gran Vía 192,Alicante,Baleares,24869,348,2024-11-08
eXp Realty,lista para construir,436134,1,2,1.93,Avenida de la Constitución 79,Zaragoza,Murcia,46467,130,2024-11-21
eXp Realty,lista para la venta,471217,1,1,0.85,Ronda de Valencia 109,Vigo,Madrid,27632,156,2023-08-14
Sotheby's,lista para la venta,1311107,2,3,0.58,Plaza España 184,Valencia,Extremadura,29778,411,2024-03-25
Compass,lista para construir,1263208,6,3,0.23,Ronda de Valencia 36,Sevilla,Galicia,59690,481,2023-10-02
Berkshire Hathaway,lista para construir,1494832,5,2,0.86,Avenida Diagonal 12,Málaga,Asturias,72187,476,2025-04-02
Realty One,lista para construir,784647,5,2,0.87,Calle Gran Vía 35,Sevilla,Canarias,19200,266,2024-05-29
Century 21,lista para la venta,645642,2,3,1.97,Ronda de Valencia 33,Valladolid,Extremadura,68371,214,2023-07-06
Century 21,lista para la venta,1211428,6,3,1.96,Plaza del Sol 194,Gijón,Galicia,39729,464,2023-11-22
Realty One,lista para construir,1130576,3,1,0.98,Ronda de Valencia 178,Málaga,Castilla y León,84279,381,2025-01-15
eXp Realty,lista para la venta,608580,2,1,1.46,Calle Gran Vía 91,Gijón,Murcia,69416,261,2024-04-15
Century 21,lista para la venta,501740,6,3,0.8,Calle Serrano 149,Madrid,Murcia,92497,75,2024-12-13
Coldwell Banker,lista para la venta,1063631,2,2,0.88,Paseo de la Castellana 108,Vigo,Madrid,92133,438,2024-09-10
Realty One,lista para construir,1095794,2,3,0.91,Calle Gran Vía 114,Vigo,Castilla-La Mancha,93387,479,2025-04-23
RE/MAX,lista para construir,691755,2,3,1.19,Calle Serrano 115,Alicante,Aragón,15342,225,2024-07-22
Compass,lista para la venta,1296077,1,1,1.5,Paseo de la Castellana 143,Valencia,Galicia,52003,407,2025-03-27
Century 21,lista para construir,634628,4,1,0.49,Paseo de la Castellana 4,Murcia,Galicia,17912,226,2025-02-14
Century 21,lista para la venta,1049762,3,2,0.81,Paseo de la Castellana 92,Valladolid,Extremadura,11819,464,2024-08-03
Coldwell Banker,lista para construir,1368567,3,2,1.41,Avenida Diagonal 129,Valencia,Madrid,85136,422,2024-10-17
eXp Realty,lista para la venta,627178,4,2,0.51,Calle Gran Vía 188,Murcia,Aragón,47045,209,2024-05-19
Sotheby's,lista para construir,1730795,2,1,1.06,Avenida Diagonal 164,Barcelona,Extremadura,26810,385,2025-01-03
Keller Williams,lista para construir,708467,4,1,0.24,Calle Serrano 200,Gijón,Madrid,64067,299,2024-06-19
Keller Williams,lista para la venta,698753,5,3,0.54,Avenida Diagonal 194,Sevilla,Madrid,31427,242,2025-02-18
Coldwell Banker,lista para la venta,1030053,6,4,1.43,Paseo de la Castellana 53,Bilbao,Aragón,29255,259,2024-11-03
Keller Williams,lista para la venta,470879,2,2,0.63,Ronda de Valencia 176,Vigo,Madrid,97045,166,2024-04-28
Keller Williams,lista para la venta,505142,1,2,1.14,Avenida de la Constitución 139,Palma,Cataluña,29564,164,2023-11-29
Coldwell Banker,lista para construir,2276222,5,1,0.65,Paseo de la Castellana 112,Madrid,Castilla-La Mancha,86714,451,2023-11-21
Compass,lista para la venta,1526150,5,4,0.71,Calle Alcalá 122,Bilbao,Castilla y León,89847,437,2024-08-21
eXp Realty,lista para construir,627402,4,2,0.15,Plaza del Sol 33,Gijón,Madrid,37037,211,2024-11-18
Sotheby's,lista para la venta,492111,3,2,1.95,Calle Gran Vía 151,Valencia,Asturias,78050,114,2024-05-31
Keller Williams,lista para construir,1486866,1,1,1.99,Calle Serrano 122,Málaga,Navarra,81252,485,2024-08-13
Coldwell Banker,lista para construir,624810,3,1,0.37,Calle Serrano 191,Bilbao,País Vasco,72889,169,2023-12-10
Coldwell Banker,lista para la venta,982404,6,3,0.21,Paseo de la Castellana 93,Valladolid,Baleares,30576,357,2023-07-25
RE/MAX,lista para la venta,824369,1,2,1.48,Calle Alcalá 44,Córdoba,Valencia,42443,306,2023-12-18
RE/MAX,lista para la venta,1266124,2,1,0.25,Plaza España 93,Barcelona,Aragón,35429,294,2023-12-08
Century 21,lista para construir,1407709,3,2,1.54,Avenida Diagonal 72,Málaga,Extremadura,45268,491,2024-01-11
Berkshire Hathaway,lista para construir,482672,1,1,1.27,Avenida de la Constitución 108,Zaragoza,Canarias,56817,205,2024-06-13
Sotheby's,lista para construir,519707,2,1,0.3,Calle Gran Vía 194,Vigo,Navarra,44346,227,2023-09-06
Century 21,lista para construir,946778,2,3,0.23,Avenida de la Constitución 88,Palma,Castilla-La Mancha,14049,397,2023-11-10
Sotheby's,lista para la venta,882059,6,1,1.19,Ronda de Valencia 122,Valladolid,País Vasco,71581,352,2024-09-29
Century 21,lista para construir,460002,5,2,0.55,Avenida de la Constitución 30,Zaragoza,Andalucía,17155,122,2024-10-08
Keller Williams,lista para construir,827617,5,2,1.86,Avenida Diagonal 104,Zaragoza,Castilla-La Mancha,80142,260,2023-07-16
